jobtitle,skills
Senior UI Developer,"HTML, HTML5, XML, JSON, CSS/CSS3, JavaScript, JQuery, AngularJS, LESS, Sling, OSGi, JCR/Jackrabbit, CRX"
Infoblox Grid Engineer/Architect,Infoblox
Content Experience Product Manager,Content Experience Product Manager
Support Specialist,"Must have solid skills in Unix, SQL, Java, .Net with the ability to work in a fast paced, complex environment. Any experience with ITIL or financial systems including Calypso a plus."
dotnet architect/lead developer,"dotnet architect/lead developer CRM interfaces MVC frameworks and Web Services C# asp.net-Visual Microsofts Cloud Technologies Docker CentOS AWS, Openstack, VMware"
Web UI Developer,HTML; CSS
"Software Development Engineer in Test (SDET) w/ Hadoop, Scala",Software Development Engineer in Test (SDET)
UI/UX Designer,UI UX Design
Sr Java Engineer/Developer,"Java,J2EE,spring,MVC,hibernate,webservices,Python"
DevOps,"DevOps experience, AWS, development experience in any language, (Python, Chef or similar), (Hadoop or similar)"
salesforce Developer,"salesforce, Apex, CRM"
Java Developer,java
E-Commerce Engineer,"Magento, PHP, MongoDB, MySQL"
Pre-sales BI & DW,"BI , DW"
Desktop Consultant,"Windows 7, Identify, diagnose,document hardware failure or software problems,"
Project Mgr/BA with CRM and digital experience(SQL),"Ad Sales & Trafficking operations,Gabriel, Invision, Sintec, WideOrbit"
.Net/C# Developer,.NET/HTML/CSS
Java SOA Architect,"SOA, UML, Swagger, Web services"
SAP Ariba Consultant,"SAP Ariba Consultant, SAP Ariba Consulting, SAP Ariba Implementation, Senior SAP Ariba Consultant"
Security Engineer,PCI/Cloud Security/Security
.net/Cloud/Developer,.Net AND develop AND Cloud AND azure AND c#
Security Engineer,"Proxy, Security, Network, encryption, tokenization, cryptography"
QA Engineer - Zephyr,"Zephyr, Spritz, QA, Automation"
Salesforce Lead Developer,"Analysis, API, Database, Data Modeling, Developer, Excel, Management, Modeling, Sales, SalesForce, SOAP"
TIBCO Developer,TIBCO Retail Development
Sr. Java developer,"Java,"
Marketing Coordinator,"Financial Services,Project Management, Marketing"
Sr. Technical Writer API/SDK,API/SDK writing
IOS Developer,"IOS Applications; Objective C; iOS; SDK; storyboard; Core Data, Core Animation, Core Graphics & Core Text"
Dynamics AX Senior System/Security Admin/Global Implementation,sql logs sharepoint ax2012
Network Security Expert,"IT Network, Security,disaster recovery, firewall, proxy server, ifrastucture admin ACL SIEM Cisco juniper"
Sr. Network Engineer with QoS,"Network Engineer,QoS,nexus"
Principal Application Security Consultant,"secure coding, secure code review, github, evangelist, thought leader, practice leader, principal consultant, application security, static analysis, dynamic analysis, threat modeling"
"Java Developer (long term contract in Torrance, CA)","Java, J2EE, Spring, JMS, Unix/Linux, SQL, Restful Web services, Microservices"
Systems Architect Contract/CTH/FTE,"Windows 2012 R2, Active Directory, Exchange 2010, DHCP, DNS supporting multi-site configurations and supporting Microsoft server and desktop products"
Senior Project Manager -With State Project Experience,"Project Management, MS Project, State project experience is required with at least 2-projects, Cloud Computing project experience"
W2 - Java UI developer,"Angular.js, HTML/CSS3, jQuery, D3.js, Highcharts, Apache, Photoshop, Illustrator, node.js, Grunt, Saas, Git, Bootstrap"
SQL Database Manager,"sql server, database management, olap cubes, ssas, ssis, ssrs, high availability, disaster recovery"
"Siebel Admin Consultant the need in Naperville IL, USA?",Sibel
Vice President of Managed Services.,"Vice President of Managed Services Oracle JD Edwards, E-Business Suite, and Fusion"
Senior Systems Security Specialist,"Strong hands on experience in security systems, firewalls, intrusion detection systems, anti virus software, authentication systems, network monitoring tools, web applications/ architectures, network"
Privileged Account Analyst,"Active Directory, Windows, Privileged Accounts"
SAP Business Solutions Manager - FICO / HR,"8+ years of experience in leading global teams, must have implementied one or more of SAP FI, CO, HR or BPC projects in a functional/technical leadership capacity."
Senior MySQL DBA - Administrator,MySQL DBA Percona replication Galera troubleshoot support backup recovery Linux restore Database Administrator tuning monitoring security support
SharePoint Developer/Jr. to Mid Level,"SharePoint, Visual Studio, JQuery, JavaScript, REST, AJAX, ODATA, Bootstrap, CSS3, HTML5"
Software Engineer,NET programming/C#/Javascript/HTML/CSS/ASP.Net/Silverlight
Sr Game Product Manager,"3+ years Gaming Product Management, preferrably AAA titles."
AWS/DEVOPS ENGINEER,"AWS WITH DEVOPS,Puppet,Chef,EC2, Network, ELB, S3/EBS"
Devops Enginee with AWS,puppet cloud scripting - F2F Needed
Functional Analyst (ARIBA),Please refer to Job Description
WPF role,WPF candidate with Silverlight and must have 3-4 years real time experience and have long term project
IT Project Manager,"PMP, MS Project, MS Visio, SharePoint, leading application development/enhancement projects"
Tableau Developer (Local to MA),"Tableau, BI"
Business Analyst - Success IES for Georgia department of Human Servic,"Analytical Skills, Data Analysis, Requirement Gathering, Presentation Skills, Lead JAD/JAR Sessions"
Guidewire PolicyCenter SME,"Guidewire PolicyCenter, SDervlets, JSP, JDBC, JNI , XML, Guidewire, Policy Center, Business Intelligence"
Technology Manager/ Strategy Specialist,"strategy planning, budgeting, risk/ security, service delivery, talent development, driving strategy focus and prioritization, development of IT policies/ procedures/ methodologies, build business pla"
Network Engineer All New!!!,"Must have strong experience in data/ voice communications equipment, protocols, cabling with knowledge of Microsoft Office, Visio and Windows applications."
Senior Systems Administrator,"Unix-based infrastructure, Linux RedHat, VMware virtualization, SAN, AIX, WINDOWS 2008,"
Web/Mobile Analytics Specialist,"""web analyst"" ""mobile"" ""omniture"""
SAP LE Business Analyst,"5 years of experience on SAP Logistics Execution and Finance Modules, SAP SmartForm programming experience, Solution Manager / change management experience."
Service Recovery Manager,"Service Recovery Manager,ITIL V3,Conference Bridge,Incident Management"
Web Developer New Position!,"Solid knowledge of N-tier architecture, UI, business layers and data layers desired,Any experience working with Adobe Photoshop, responsive web design, Webpage loading performance techniques"
Sr. Data Architect,"Experience in Application Development, Data Integration, Business Intelligence and/or other Data Warehouse Projects Experience Architecting and Implementing data solutions incorporating Data Quality,"
Software Engineer,"C++, Linux / UNIX operating systems, scripting language, Hadoop and/or SQL desirable"
C# .Net Developer NYC's Top Role!,"2 to 5 years of experience in C#, .Net, WCF, WPF, Web Services, XML, SOAP, T-SQL. Solid knowledge of SSRS needed with some exposure to SSIS and SSAS. Diverse duties include analysis, design, developme"
JAVA / JBOSS ARCHITECT,Java JBoss SQL Develop
Network Engineer,"24/7 Support, Network Protocol, TCP/IP, STP, VTP, OSPF, BGP, RIP, Ether channel, Firewalls, IPSEC, GRE"
Healthcare Insurance Project Manager,"Healthcare, Medicare, Medicaid"
Sr. J2EE Developer with DevOps experience,"Core Java, J2EE"
Data Quality / Data Governance Lead,Data Governance Lead
ETL Data Stage Developer,"ETL, Datastage, pl/sql, UNIX, Teradata, DBA"
Senior CEMLI Developer,Oracle CEMLI E-Business
Sr Salesforce Developer,"Salesforce,VisualForce, Apex Classes, Web Services,Informatica, Autosys."
ETL Data Stage Developer,"ETL, Datastage, pl/sql, UNIX, Teradata, DBA"
Immediate opening for Mixed-Signal design Engineer - San Diego,"CMOS OVM,UVM"
Salesforce Systems Administrator,"Salesforce, Visualforce"
Client Support,Excellent customer service; interested in learning new software
Java Developer,"Java, J2EE, Spring, Spring MVC"
FULL TIME REKS,"1.MicroStrategy Sr Developer, 2.Technical Engineer - vRealize Automation,3.Informatica Developer ,4.Java Developer, 5.Mid Level Engineer"
Information Security Engineer - Senior,Security/PCI/CISSP/Cloud
SAP Ariba Consultant,"SAP Ariba Consultant, SAP Ariba Consulting, SAP Ariba Implementation, Senior SAP Ariba Consultant"
Java Full Stack Developer,"Backend Java API, Angular, HTML, CSS, React, RestFul API"
Sr Technical Project Manager (MUST exp with Infrastructure/datacenter build),"6+ years work experience in Technical Project Management, ITIL, PMP, SOA strategy"
Software Designer / Technical Systems Analyst,"Software Design, Technical Systems Analysis, translation of business requirements into technical requirements, designs, optimization, mobile design patterns, Java or C#"
Plastics Engineer,Plastic/Engineering/Design/Injection Molding/Creo
Java Developer,"Java,J2EE,Spring,Struts, ESB"
Websphere Engineer (Windows) / Locals,"Clear Case, SCM, DB2, Clear Case, Chef, Puppet, CFengine"
Application Support,"Must have solid expertise with SQL and coding experience with C#. .Net, JavaScript Solid knowledge-various systems, IT operations, data management and a good understanding of application architecture."
SW Engineer - Networking,3GPP
Business PM,"CRM, PM Skills"
Staff Mask Layout Designer,Layout
Procurement Specialist,"Experience in procurement, contracts, negotiation, MS Excel, MS Word"
Software Developer,"Node js, C++, go, JAVA, Angular js"
Account Manager Phoenix AZ F2F,"Technology,sales,mobile"
Release Engnieer,"Jenkins, Git"
Web Production Designer,"html,content management system ,Adobe CQ, css,Photoshop, Illustrator,, Dreamweaver"
Sr. Network Engineer,"Cisco networking, EIGRP, OSPF, BGP, Palo Alto Networks, Cisco ASAs, Juniper, Fortinet, Checkpoint, Wireshark, Sniffer, TACACS+, Cisco ACS, Kiwi Syslog, Cacti, ManageEngine DeviceExpert"
Adobe Exp Manager,"AEM, Sling, Java, Template/Components"
"IT Network Administrator/Manager (Windows admin/WAN/100 users)(Locals only, perm only)",Windows active directory exchange wan cisco
Business Analyst (Market Risk) with Financial Products,"Business Analyst ,Financial Industry,Security Master Data, Agile, Financial Service,Risk Management business, market risk ,Bonds, Swaps, Futures, Options, OTC Derivatives, Structured Products,Convexit"
Senior Security Network Specialist,"xperience with routing protocols including OSPF, EIGRP, BGP, RIP and WAN Connectivity: T1/T3, OC3, OC12, 10gb needed. Cisco network security design/ configurations and tuning of Cisco security app"
Cisco Consultant,"CISCO, ASR9k, iOS-XR, BGP, IS, Service Provider,"
Sr. UX/UI Designer,"HTML5, JavaScript, CSS."
Senior Business Intelligence Specialist,"Oracle, Teradata or ANSI SQL and data modeling, design and development"
Senior UI Developer,"UI, UX, Angular, Javascript, HTML, CSS"
AWS Cloud Developer,"Java, Microservices, AWS, Cloud"
Network Lead,"Network Lead, IPv4, CCNP"
Juniper Security Engineer,"Network Security, Juniper, ASA, Firewalls"
Workday Consultant,Workday HRMS
Embedded Developer,"Embedded, C ,C++, Java, QNX, Linux"
network engineer-goleta,"CCIE, CCNP, route/switch"
AVP Private Equity Services,"private equity, accounting, FIS, sungard"
manual Testing,"Microsoft plug-in tools, such as Selenium, SpecFlow"
Senior CEMLI Developer,Oracle CEMLI E-Business
SAP FICA/RMCA Consultant,"FICA, RMCA"
Guidewire Architect,guidewire
Sr. Manager - Infrastructure,"windows, mac, linux, vmware"
Jr. QA Technician | Contract-to-hire | San Francisco,"Python, SQL, JIRA, Git, Jenkins"
Big Data Architect/Big Data Engineer (long term contract),"Data architecture, data modeling, Big data - Hadoop, MapReduce, Spark,"
Software Developer,C#/.NET/Web Application/Developer/JSON/Java Script
"Sr. Security Engineer (perm, locals only)",Security
Cassandra Developer,"Cassandra, Oracle, Solr, Java"
EPIC Radiant Certified Analyst,"radiant, epic, mammography, Radiology Technologist"
Java Developer All New Position!,"Any experience in the development of web services, Javascript, HTML5, Angular.JS, Bootstrap, JQuery, MVC, Drools and webRTC helpful"
"Program Manager (long term contract in Torrance, CA)","Program management, B2C/ecommerce"
Level 2 Support Specialist,Must have a strong technology background with experience in many/ various technologies.
Engagement Director,"Bachelors, Project Management, SAP"
Technical Support - Level 2+,Technical Support; Inbound; Outbound; troubleshoot; network; help desk; A+; CCNA; Cisco; voip; tcp/ip; pos; mobile support; video; retail; vpn; ssl; dns; firewall; ip; routers; switches
backend .net developer SV,"C#, SQL Server, IIS"
Market Data Administrator with FITS experience,"Market Data Administrator, FITs"
"Web Services Systems Analyst - requirements,artifacts,workflows SSL","requirements, artifacts and workflows"
DevOps Engineer,"Experience with cloud based technologies and deployment including Amazon Web Services, LDAP administration, web based application technology stacks and databases."
MS Dynamics CRM Lead,"CRM, Project implementation"
"Senior Systems Engineer (Linux), Internet Services Tech","Windows, Linux, Linux Kernel, Linux Full Stack, DevOps"
WPF role,WPF candidate with Silverlight and must have 3-4 years real time experience and have long term project
Information Technology Security Analyst,"CISSP, CEH, C&A, Security+, Forensics, Nessus, NIST Risk Management Framework, CISA, Secret Clearance"
Java Developer,"Java, Jira, Sproing Hibernate, SQL, NoSQL, REST/JSON, XML, Confluence, BAMBOO, Stash, BitBucket, GIT"
Java Software Developer,"Java, JavaScript, HTML"
Information Security Engineer 4,"Information Security, Risk, Compliance, PKI"
"Storage Architect (VMAX/Isilon req'd) - $120K to $150K + 15-20% bonus (perm only, locals only)",Vmax isilon storage
Video Conference Support Engineer,"video, audio, conferencing, AV, test, troubleshoot"
APPLICATION SUPPORT - IMMEDIATE NEED,"DESKTOP SUPPORT, MICROSOFT OFFICE"
Software Engineer,"UC APL guidelines, Linux, STIG/SRG, SCAP"
